BIN,Complaint,Feedback,ChargebackFlag,Complaint_Encoded
568603,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
344638,Unauthorized Charge,I was charged without my knowledge!,1,6
537295,Unauthorized Charge,I was charged without my knowledge!,1,6
311501,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
353969,Unauthorized Charge,I was charged without my knowledge!,1,6
478700,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
610472,Unauthorized Charge,I was charged without my knowledge!,1,6
340143,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
431563,Fraudulent Transaction,Someone used my card fraudulently!,1,2
442346,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
430162,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
425973,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
467385,Unauthorized Charge,I was charged without my knowledge!,1,6
343694,Unauthorized Charge,I was charged without my knowledge!,1,6
353209,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
775744,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
334638,Fraudulent Transaction,Someone used my card fraudulently!,1,2
583707,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
775641,Fraudulent Transaction,Someone used my card fraudulently!,1,2
497914,Unauthorized Charge,I was charged without my knowledge!,1,6
644257,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
505497,Unauthorized Charge,I was charged without my knowledge!,1,6
500100,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
484482,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
398701,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
581210,Fraudulent Transaction,Someone used my card fraudulently!,1,2
598372,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
363785,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
393595,Unauthorized Charge,I was charged without my knowledge!,1,6
564061,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
103285,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
347723,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
505347,Fraudulent Transaction,Someone used my card fraudulently!,1,2
519417,Unauthorized Charge,I was charged without my knowledge!,1,6
305235,Fraudulent Transaction,Someone used my card fraudulently!,1,2
444601,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
550454,Fraudulent Transaction,Someone used my card fraudulently!,1,2
302391,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
512189,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
586968,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
647097,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
503063,Fraudulent Transaction,Someone used my card fraudulently!,1,2
388306,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
354410,Unauthorized Charge,I was charged without my knowledge!,1,6
396353,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
349403,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
348580,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
608474,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
420036,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
525962,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
371628,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
341148,Fraudulent Transaction,Someone used my card fraudulently!,1,2
650708,Fraudulent Transaction,Someone used my card fraudulently!,1,2
489558,Unauthorized Charge,I was charged without my knowledge!,1,6
352951,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
485736,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
389061,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
385155,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
318926,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
361872,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
819691,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
302655,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
482537,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
394349,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
707121,Fraudulent Transaction,Someone used my card fraudulently!,1,2
644765,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
384746,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
395155,Fraudulent Transaction,Someone used my card fraudulently!,1,2
478970,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
587489,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
556444,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
506728,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
373972,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
540609,Unauthorized Charge,I was charged without my knowledge!,1,6
409555,Fraudulent Transaction,Someone used my card fraudulently!,1,2
680420,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
812440,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
161792,Fraudulent Transaction,Someone used my card fraudulently!,1,2
401723,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
625223,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
